Year,Units,Value
2010,Percentage,100.0
2011,Percentage,99.801
2012,Percentage,92.959
2013,Percentage,98.858
2014,Percentage,95.477
2015,Percentage,85.06
2016,Percentage,76.184
2017,Percentage,67.727
2018,Percentage,81.511
2019,Percentage,30.747
2020,Percentage,15.03
2021,Percentage,28.232
2030,Percentage,
