Year,Value,Units,GeoCode
2008,81.8,Percentage,
2009,82.5,Percentage,
2010,81.7,Percentage,
2011,82.0,Percentage,
2012,81.0,Percentage,
2013,81.4,Percentage,
2014,81.8,Percentage,
2015,81.0,Percentage,
2016,81.8,Percentage,
2017,83.1,Percentage,
2018,82.7,Percentage,
2019,84.2,Percentage,
2020,84.1,Percentage,
2021,84.0,Percentage,
