Year,Value,Units
1990,136.263,2030 = 100
1991,127.755,2030 = 100
1992,119.916,2030 = 100
1993,126.218,2030 = 100
1994,126.751,2030 = 100
1995,113.45,2030 = 100
1996,119.46,2030 = 100
1997,108.517,2030 = 100
1998,102.154,2030 = 100
1999,108.982,2030 = 100
2000,101.831,2030 = 100
2001,99.816,2030 = 100
2002,93.221,2030 = 100
2003,89.021,2030 = 100
2004,92.82,2030 = 100
2005,91.002,2030 = 100
2006,86.532,2030 = 100
2007,87.294,2030 = 100
2008,88.442,2030 = 100
2009,82.514,2030 = 100
2010,79.533,2030 = 100
2011,77.341,2030 = 100
2012,80.342,2030 = 100
2013,76.917,2030 = 100
2014,75.893,2030 = 100
2015,79.976,2030 = 100
2016,79.954,2030 = 100
2017,75.555,2030 = 100
2018,73.664,2030 = 100
2019,75.343,2030 = 100
2030,,2030 = 100
