Year,Value,Units,GeoCode
1999,10.7,Percentage,
2003,11.7,Percentage,
2005,12.5,Percentage,
2009,13.3,Percentage,
2013,14.1,Percentage,
2017,14.789,Percentage,
2021,15.402,Percentage,
