Year,Value,Units,Series
2024,77.0,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions
2023,,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions
2025,,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions
01.03.2023 - 30.08.2023,82.0,Number,<u>Additional time series:</u> Productions of audiovisual media that meet ecological standards
01.09.2023 - 30.08.2024,234.0,Number,<u>Additional time series:</u> Productions of audiovisual media that meet ecological standards
