Year,Value,Units,GeoCode
2004,-5.156,m² per year,
2005,-5.03,m² per year,
2006,-4.908,m² per year,
2007,-4.789,m² per year,
2008,-4.67,m² per year,
2009,-4.389,m² per year,
2010,-4.095,m² per year,
2011,-4.268,m² per year,
2012,-3.83,m² per year,
2013,-3.657,m² per year,
2014,-3.704,m² per year,
2015,-2.891,m² per year,
2016,-2.731,m² per year,
2017,-2.78,m² per year,
2018,-2.809,m² per year,
2019,-2.775,m² per year,
2020,-2.842,m² per year,
2021,-2.715,m² per year,
2022,-2.239,m² per year,
