Year,Value,Units
2012,5.6,Millions
2013,6.9,Millions
2014,11.2,Millions
2015,18.2,Millions
2016,20.4,Millions
2017,23.7,Millions
2018,24.2,Millions
2019,32.1,Millions
2020,35.6,Millions
2021,40.2,Millions
2022,44.9,Millions
2023,52.1,Millions
2030,,Millions
