Year,Value,Units
2011,1.56,Billion euros
2012,1.66,Billion euros
2013,1.95,Billion euros
2014,2.34,Billion euros
2015,2.684,Billion euros
2016,3.362,Billion euros
2017,3.65,Billion euros
2018,3.37,Billion euros
2019,4.34,Billion euros
2020,5.09,Billion euros
2021,5.34,Billion euros
2022,6.39,Billion euros
2023,5.66,Billion euros
2025,,Billion euros
