Year,Value,Units
2011,257.93,"Per 100,000 inhabitants"
2012,252.8,"Per 100,000 inhabitants"
2013,253.78,"Per 100,000 inhabitants"
2014,243.34,"Per 100,000 inhabitants"
2015,249.22,"Per 100,000 inhabitants"
2016,244.56,"Per 100,000 inhabitants"
2017,241.05,"Per 100,000 inhabitants"
2018,241.0,"Per 100,000 inhabitants"
2019,231.41,"Per 100,000 inhabitants"
2020,238.07,"Per 100,000 inhabitants"
2021,252.54,"Per 100,000 inhabitants"
2030,,"Per 100,000 inhabitants"
