Year,Value,Units
2005,100.0,2005 = 100
2006,100.128,2005 = 100
2007,97.28,2005 = 100
2008,94.384,2005 = 100
2009,88.15,2005 = 100
2010,91.739,2005 = 100
2011,88.784,2005 = 100
2012,87.94,2005 = 100
2013,86.784,2005 = 100
2014,84.378,2005 = 100
2015,83.05,2005 = 100
2016,81.239,2005 = 100
2017,79.389,2005 = 100
2018,75.339,2005 = 100
2019,71.437,2005 = 100
2020,65.98,2005 = 100
2021,66.168,2005 = 100
2030,,2005 = 100
