Year,Units,sub index,Value
2003,2030 = 100,coasts and seas sub-index,68.111
2004,2030 = 100,coasts and seas sub-index,63.548
2005,2030 = 100,coasts and seas sub-index,63.583
2006,2030 = 100,coasts and seas sub-index,63.167
2007,2030 = 100,coasts and seas sub-index,65.639
2008,2030 = 100,coasts and seas sub-index,55.093
2009,2030 = 100,coasts and seas sub-index,59.416
2010,2030 = 100,coasts and seas sub-index,62.174
2011,2030 = 100,coasts and seas sub-index,62.478
2012,2030 = 100,coasts and seas sub-index,56.154
2013,2030 = 100,coasts and seas sub-index,56.622
2014,2030 = 100,coasts and seas sub-index,56.59
2015,2030 = 100,coasts and seas sub-index,58.962
2016,2030 = 100,coasts and seas sub-index,57.982
2030,2030 = 100,,
