Year,Units,Time series,Federal state,GeoCode,Value
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Berlin,code11,15.72
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Berlin,code11,19.8
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Brandenburg,code12,27.52
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Brandenburg,code12,24.61
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Brandenburg,code12,36.7
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bremen,code04,9.79
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bremen,code04,16.6
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Bremen,code04,25.2
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hamburg,code02,44.22
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hamburg,code02,52.38
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hamburg,code02,64.8
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hesse,code06,12.25
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hesse,code06,16.17
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Hesse,code06,21.1
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Mecklenburg Western Pomerania,code13,25.48
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Mecklenburg Western Pomerania,code13,27.64
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Mecklenburg Western Pomerania,code13,34.2
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Lower Saxony,code03,30.18
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Lower Saxony,code03,41.36
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Lower Saxony,code03,48.5
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),North Rhine-Westphalia,code05,18.36
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),North Rhine-Westphalia,code05,22.45
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),North Rhine-Westphalia,code05,29.6
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Rhineland Palatinate,code07,7.54
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Rhineland Palatinate,code07,11.64
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Rhineland Palatinate,code07,17.4
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saarland,code10,4.23
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saarland,code10,6.24
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saarland,code10,9.2
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony,code14,12.45
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony,code14,18.35
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony,code14,23.4
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony-Anhalt,code15,12.62
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony-Anhalt,code15,16.41
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Saxony-Anhalt,code15,23.2
2022/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Schleswig-Holstein,code01,41.35
2022/2,Percentage,Fibre-to-the-Building/Home (FTTB/H),Schleswig-Holstein,code01,46.66
2023/1,Percentage,Fibre-to-the-Building/Home (FTTB/H),Schleswig-Holstein,code01,55.3
