Year,Units,Value
2000,Percentage,84.377
2005,Percentage,79.447
2010,Percentage,75.752
2015,Percentage,68.677
2016,Percentage,71.592
2017,Percentage,71.334
2018,Percentage,68.811
2019,Percentage,68.513
2001,Percentage,
2002,Percentage,
2003,Percentage,
2004,Percentage,
2006,Percentage,
2007,Percentage,
2008,Percentage,
2009,Percentage,
2011,Percentage,
2012,Percentage,
2013,Percentage,
2014,Percentage,
2030,Percentage,
