Year,Units,Series,Value
2024,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions,77.0
2023,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions,
2025,Number,<u>Time series of the indicator:</u> Sustainability-certified cultural and media institutions,
01.03.2023 - 30.08.2023,Number,<u>Additional time series:</u> Productions of audiovisual media that meet ecological standards,82.0
01.09.2023 - 30.08.2024,Number,<u>Additional time series:</u> Productions of audiovisual media that meet ecological standards,234.0
