Year,Units,Value
2011,Billion EUR,1.56
2012,Billion EUR,1.66
2013,Billion EUR,1.95
2014,Billion EUR,2.34
2015,Billion EUR,2.684
2016,Billion EUR,3.362
2017,Billion EUR,3.65
2018,Billion EUR,3.37
2019,Billion EUR,4.34
2020,Billion EUR,5.09
2021,Billion EUR,5.34
2022,Billion EUR,6.39
2023,Billion EUR,5.66
2025,Billion EUR,
