Year,Units,COMMENT_OBS_0,Value
2015,"1,000",,354.841
2018,"1,000",,862.978
2021,"1,000",,80.083
2024,"1,000",,89.0
2016,"1,000",.,
2017,"1,000",.,
2019,"1,000",.,
2020,"1,000",.,
2022,"1,000",.,
2023,"1,000",.,
2030,"1,000",…,
