Year,Units,Value
2010,Percentage,14.5
2011,Percentage,16.1
2012,Percentage,16.6
2013,Percentage,16.4
2014,Percentage,15.9
2015,Percentage,15.6
2016,Percentage,15.8
2017,Percentage,14.5
2018,Percentage,14.2
2019,Percentage,13.9
2020,Percentage,9.0
2021,Percentage,11.0
2030,Percentage,
