Year,Units,Time series,Länder,GeoCode,COMMENT_OBS_0,Sex,Value
2008,Number,Researchers from LDCs,Saxony,code14,,,19.0
2009,Number,Researchers from LDCs,Saxony,code14,,,23.0
2010,Number,Researchers from LDCs,Saxony,code14,,,29.0
2011,Number,Researchers from LDCs,Saxony,code14,,,24.0
2012,Number,Researchers from LDCs,Saxony,code14,,,32.0
2013,Number,Researchers from LDCs,Saxony,code14,,,32.0
2014,Number,Researchers from LDCs,Saxony,code14,,,30.0
2015,Number,Researchers from LDCs,Saxony,code14,,,36.0
2016,Number,Researchers from LDCs,Saxony,code14,,,35.0
2017,Number,Researchers from LDCs,Saxony,code14,,,42.0
2018,Number,Researchers from LDCs,Saxony,code14,,,56.0
2019,Number,Researchers from LDCs,Saxony,code14,,,53.0
2020,Number,Researchers from LDCs,Saxony,code14,,,69.0
2021,Number,Researchers from LDCs,Saxony,code14,,,70.0
2022,Number,Researchers from LDCs,Saxony,code14,,,92.0
2023,Number,Researchers from LDCs,Saxony,code14,,,105.0
2024,Number,Researchers from LDCs,Saxony,code14,,,133.0
2005,Number,Researchers from LDCs,Saxony-Anhalt,code15,.,,
2006,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,5.0
2007,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,1.0
2008,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,3.0
2009,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,5.0
2010,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,5.0
2011,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,3.0
2012,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,4.0
2013,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,8.0
2014,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,9.0
2015,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,10.0
2016,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,7.0
2017,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,9.0
2018,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,17.0
2019,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,14.0
2020,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,22.0
2021,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,24.0
2022,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,23.0
2023,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,29.0
2024,Number,Researchers from LDCs,Saxony-Anhalt,code15,,,28.0
2005,Number,Researchers from LDCs,Schleswig-Holstein,code01,.,,
2006,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,5.0
2007,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,6.0
2008,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,8.0
2009,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,11.0
2010,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,10.0
2011,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,13.0
2012,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,11.0
2013,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,13.0
2014,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,15.0
2015,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,12.0
2016,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,14.0
2017,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,17.0
2018,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,23.0
2019,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,27.0
2020,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,28.0
2021,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,38.0
2022,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,33.0
2023,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,33.0
2024,Number,Researchers from LDCs,Schleswig-Holstein,code01,,,39.0
2005,Number,Researchers from LDCs,Thuringia,code16,.,,
2006,Number,Researchers from LDCs,Thuringia,code16,,,3.0
2007,Number,Researchers from LDCs,Thuringia,code16,,,5.0
2008,Number,Researchers from LDCs,Thuringia,code16,,,7.0
2009,Number,Researchers from LDCs,Thuringia,code16,,,13.0
2010,Number,Researchers from LDCs,Thuringia,code16,,,12.0
2011,Number,Researchers from LDCs,Thuringia,code16,,,12.0
2012,Number,Researchers from LDCs,Thuringia,code16,,,15.0
2013,Number,Researchers from LDCs,Thuringia,code16,,,22.0
2014,Number,Researchers from LDCs,Thuringia,code16,,,20.0
2015,Number,Researchers from LDCs,Thuringia,code16,,,20.0
2016,Number,Researchers from LDCs,Thuringia,code16,,,17.0
2017,Number,Researchers from LDCs,Thuringia,code16,,,19.0
2018,Number,Researchers from LDCs,Thuringia,code16,,,29.0
2019,Number,Researchers from LDCs,Thuringia,code16,,,23.0
2020,Number,Researchers from LDCs,Thuringia,code16,,,38.0
2021,Number,Researchers from LDCs,Thuringia,code16,,,32.0
2022,Number,Researchers from LDCs,Thuringia,code16,,,37.0
2023,Number,Researchers from LDCs,Thuringia,code16,,,52.0
2024,Number,Researchers from LDCs,Thuringia,code16,,,66.0
2005,Number,Researchers from other developing and emerging countries,,,,,5848.0
2006,Number,Researchers from other developing and emerging countries,,,,,6434.0
2007,Number,Researchers from other developing and emerging countries,,,,,6766.0
2008,Number,Researchers from other developing and emerging countries,,,,,8180.0
2009,Number,Researchers from other developing and emerging countries,,,,,9482.0
2010,Number,Researchers from other developing and emerging countries,,,,,10614.0
2011,Number,Researchers from other developing and emerging countries,,,,,10946.0
2012,Number,Researchers from other developing and emerging countries,,,,,11741.0
2013,Number,Researchers from other developing and emerging countries,,,,,12865.0
2014,Number,Researchers from other developing and emerging countries,,,,,13837.0
2015,Number,Researchers from other developing and emerging countries,,,,,14592.0
2016,Number,Researchers from other developing and emerging countries,,,,,15317.0
2017,Number,Researchers from other developing and emerging countries,,,,,16904.0
2018,Number,Researchers from other developing and emerging countries,,,,,18429.0
2019,Number,Researchers from other developing and emerging countries,,,,,20214.0
2020,Number,Researchers from other developing and emerging countries,,,,,22257.0
2021,Number,Researchers from other developing and emerging countries,,,,,24624.0
2022,Number,Researchers from other developing and emerging countries,,,,,27044.0
2023,Number,Researchers from other developing and emerging countries,,,,,29123.0
2024,Number,Researchers from other developing and emerging countries,,,,,31504.0
2005,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,.,,
2006,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,1190.0
2007,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,1333.0
2008,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,1579.0
2009,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,1847.0
2010,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2049.0
2011,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,1986.0
2012,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2155.0
2013,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2388.0
2014,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2547.0
2015,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2691.0
2016,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,2761.0
2017,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,3164.0
2018,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,3314.0
2019,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,3458.0
2020,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,3897.0
2021,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,4130.0
2022,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,4636.0
2023,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,4954.0
2024,Number,Researchers from other developing and emerging countries,Baden-Wuerttemberg,code08,,,5387.0
2005,Number,Researchers from other developing and emerging countries,Bavaria,code09,.,,
2006,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,872.0
2007,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,934.0
2008,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1171.0
2009,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1296.0
2010,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1483.0
2011,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1612.0
2012,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1767.0
2013,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,1956.0
2014,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2150.0
2015,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2212.0
2016,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2280.0
2017,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2425.0
2018,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2600.0
2019,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,2910.0
2020,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,3265.0
2021,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,3651.0
2022,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,4193.0
2023,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,4340.0
2024,Number,Researchers from other developing and emerging countries,Bavaria,code09,,,4627.0
2005,Number,Researchers from other developing and emerging countries,Berlin,code11,.,,
2006,Number,Researchers from other developing and emerging countries,Berlin,code11,,,468.0
2007,Number,Researchers from other developing and emerging countries,Berlin,code11,,,461.0
2008,Number,Researchers from other developing and emerging countries,Berlin,code11,,,550.0
2009,Number,Researchers from other developing and emerging countries,Berlin,code11,,,597.0
2010,Number,Researchers from other developing and emerging countries,Berlin,code11,,,620.0
2011,Number,Researchers from other developing and emerging countries,Berlin,code11,,,603.0
2012,Number,Researchers from other developing and emerging countries,Berlin,code11,,,672.0
2013,Number,Researchers from other developing and emerging countries,Berlin,code11,,,688.0
2014,Number,Researchers from other developing and emerging countries,Berlin,code11,,,765.0
2015,Number,Researchers from other developing and emerging countries,Berlin,code11,,,858.0
2016,Number,Researchers from other developing and emerging countries,Berlin,code11,,,877.0
2017,Number,Researchers from other developing and emerging countries,Berlin,code11,,,934.0
2018,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1000.0
2019,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1138.0
2020,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1322.0
2021,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1571.0
2022,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1668.0
2023,Number,Researchers from other developing and emerging countries,Berlin,code11,,,1873.0
2024,Number,Researchers from other developing and emerging countries,Berlin,code11,,,2024.0
2005,Number,Researchers from other developing and emerging countries,Brandenburg,code12,.,,
2006,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,97.0
2007,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,109.0
2008,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,124.0
2009,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,151.0
2010,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,170.0
2011,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,208.0
2012,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,204.0
2013,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,209.0
2014,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,227.0
2015,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,232.0
2016,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,267.0
2017,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,322.0
2018,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,352.0
2019,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,414.0
2020,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,492.0
2021,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,543.0
2022,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,619.0
2023,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,658.0
2024,Number,Researchers from other developing and emerging countries,Brandenburg,code12,,,709.0
2005,Number,Researchers from other developing and emerging countries,Bremen,code04,.,,
2006,Number,Researchers from other developing and emerging countries,Bremen,code04,,,108.0
2007,Number,Researchers from other developing and emerging countries,Bremen,code04,,,96.0
2008,Number,Researchers from other developing and emerging countries,Bremen,code04,,,116.0
2009,Number,Researchers from other developing and emerging countries,Bremen,code04,,,156.0
2010,Number,Researchers from other developing and emerging countries,Bremen,code04,,,181.0
2011,Number,Researchers from other developing and emerging countries,Bremen,code04,,,184.0
2012,Number,Researchers from other developing and emerging countries,Bremen,code04,,,177.0
2013,Number,Researchers from other developing and emerging countries,Bremen,code04,,,193.0
2014,Number,Researchers from other developing and emerging countries,Bremen,code04,,,192.0
2015,Number,Researchers from other developing and emerging countries,Bremen,code04,,,195.0
2016,Number,Researchers from other developing and emerging countries,Bremen,code04,,,204.0
2017,Number,Researchers from other developing and emerging countries,Bremen,code04,,,225.0
2018,Number,Researchers from other developing and emerging countries,Bremen,code04,,,219.0
2019,Number,Researchers from other developing and emerging countries,Bremen,code04,,,238.0
2020,Number,Researchers from other developing and emerging countries,Bremen,code04,,,238.0
2021,Number,Researchers from other developing and emerging countries,Bremen,code04,,,244.0
2022,Number,Researchers from other developing and emerging countries,Bremen,code04,,,323.0
2023,Number,Researchers from other developing and emerging countries,Bremen,code04,,,344.0
2024,Number,Researchers from other developing and emerging countries,Bremen,code04,,,341.0
2005,Number,Researchers from other developing and emerging countries,Hamburg,code02,.,,
2006,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,162.0
2007,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,215.0
2008,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,242.0
2009,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,272.0
2010,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,282.0
2011,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,281.0
2012,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,281.0
2013,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,330.0
2014,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,340.0
2015,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,347.0
2016,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,416.0
2017,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,442.0
2018,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,496.0
2019,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,578.0
2020,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,649.0
2021,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,783.0
2022,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,847.0
2023,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,1032.0
2024,Number,Researchers from other developing and emerging countries,Hamburg,code02,,,1078.0
2005,Number,Researchers from other developing and emerging countries,Hesse,code06,.,,
2006,Number,Researchers from other developing and emerging countries,Hesse,code06,,,469.0
2007,Number,Researchers from other developing and emerging countries,Hesse,code06,,,520.0
2008,Number,Researchers from other developing and emerging countries,Hesse,code06,,,628.0
2009,Number,Researchers from other developing and emerging countries,Hesse,code06,,,730.0
2010,Number,Researchers from other developing and emerging countries,Hesse,code06,,,836.0
2011,Number,Researchers from other developing and emerging countries,Hesse,code06,,,898.0
2012,Number,Researchers from other developing and emerging countries,Hesse,code06,,,921.0
2013,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1017.0
2014,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1063.0
2015,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1065.0
2016,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1089.0
2017,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1146.0
2018,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1238.0
2019,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1344.0
2020,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1424.0
2021,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1597.0
2022,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1758.0
2023,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1863.0
2024,Number,Researchers from other developing and emerging countries,Hesse,code06,,,1982.0
2005,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,.,,
2006,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,67.0
2007,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,73.0
2008,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,94.0
2009,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,102.0
2010,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,139.0
2011,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,128.0
2012,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,139.0
2013,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,160.0
2014,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,176.0
2015,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,176.0
2016,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,194.0
2017,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,209.0
2018,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,239.0
2019,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,276.0
2020,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,308.0
2021,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,350.0
2022,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,357.0
2023,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,383.0
2024,Number,Researchers from other developing and emerging countries,Mecklenburg Western Pomerania,code13,,,415.0
2005,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,.,,
2006,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,519.0
2007,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,646.0
2008,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,710.0
2009,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,797.0
2010,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,883.0
2011,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,915.0
2012,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1010.0
2013,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1132.0
2014,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1140.0
2015,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1206.0
2016,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1250.0
2017,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1343.0
2018,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1475.0
2019,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1549.0
2020,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1638.0
2021,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1822.0
2022,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,1930.0
2023,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,2039.0
2024,Number,Researchers from other developing and emerging countries,Lower Saxony,code03,,,2198.0
2005,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,.,,
2006,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,1399.0
2007,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,1240.0
2008,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,1675.0
2009,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2017.0
2010,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2178.0
2011,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2221.0
2012,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2293.0
2013,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2473.0
2014,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2749.0
2015,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,2949.0
2016,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,3199.0
2017,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,3539.0
2018,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,3955.0
2019,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,4306.0
2020,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,4628.0
2021,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,5096.0
2022,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,5357.0
2023,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,5856.0
2024,Number,Researchers from other developing and emerging countries,North Rhine-Westphalia,code05,,,6341.0
2005,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,.,,
2006,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,238.0
2007,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,254.0
2008,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,291.0
2009,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,302.0
2010,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,404.0
2011,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,412.0
2012,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,472.0
2013,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,505.0
2014,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,514.0
2015,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,529.0
2016,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,602.0
2017,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,640.0
2018,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,653.0
2019,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,756.0
2020,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,823.0
2021,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,851.0
2022,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,1002.0
2023,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,1087.0
2024,Number,Researchers from other developing and emerging countries,Rhineland Palatinate,code07,,,1164.0
2005,Number,Researchers from other developing and emerging countries,Saarland,code10,.,,
2006,Number,Researchers from other developing and emerging countries,Saarland,code10,,,111.0
2007,Number,Researchers from other developing and emerging countries,Saarland,code10,,,102.0
2008,Number,Researchers from other developing and emerging countries,Saarland,code10,,,108.0
2009,Number,Researchers from other developing and emerging countries,Saarland,code10,,,162.0
2010,Number,Researchers from other developing and emerging countries,Saarland,code10,,,182.0
2011,Number,Researchers from other developing and emerging countries,Saarland,code10,,,227.0
2012,Number,Researchers from other developing and emerging countries,Saarland,code10,,,236.0
2013,Number,Researchers from other developing and emerging countries,Saarland,code10,,,271.0
2014,Number,Researchers from other developing and emerging countries,Saarland,code10,,,299.0
2015,Number,Researchers from other developing and emerging countries,Saarland,code10,,,330.0
2016,Number,Researchers from other developing and emerging countries,Saarland,code10,,,325.0
2017,Number,Researchers from other developing and emerging countries,Saarland,code10,,,322.0
2018,Number,Researchers from other developing and emerging countries,Saarland,code10,,,384.0
2019,Number,Researchers from other developing and emerging countries,Saarland,code10,,,371.0
2020,Number,Researchers from other developing and emerging countries,Saarland,code10,,,404.0
2021,Number,Researchers from other developing and emerging countries,Saarland,code10,,,412.0
2022,Number,Researchers from other developing and emerging countries,Saarland,code10,,,440.0
2023,Number,Researchers from other developing and emerging countries,Saarland,code10,,,463.0
2024,Number,Researchers from other developing and emerging countries,Saarland,code10,,,525.0
2005,Number,Researchers from other developing and emerging countries,Saxony,code14,.,,
2006,Number,Researchers from other developing and emerging countries,Saxony,code14,,,304.0
2007,Number,Researchers from other developing and emerging countries,Saxony,code14,,,326.0
2008,Number,Researchers from other developing and emerging countries,Saxony,code14,,,376.0
2009,Number,Researchers from other developing and emerging countries,Saxony,code14,,,445.0
2010,Number,Researchers from other developing and emerging countries,Saxony,code14,,,487.0
2011,Number,Researchers from other developing and emerging countries,Saxony,code14,,,498.0
2012,Number,Researchers from other developing and emerging countries,Saxony,code14,,,549.0
2013,Number,Researchers from other developing and emerging countries,Saxony,code14,,,650.0
2014,Number,Researchers from other developing and emerging countries,Saxony,code14,,,741.0
2015,Number,Researchers from other developing and emerging countries,Saxony,code14,,,766.0
2016,Number,Researchers from other developing and emerging countries,Saxony,code14,,,845.0
2017,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1003.0
2018,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1114.0
2019,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1338.0
2020,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1379.0
2021,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1542.0
2022,Number,Researchers from other developing and emerging countries,Saxony,code14,,,1741.0
2023,Number,Researchers from other developing and emerging countries,Saxony,code14,,,2012.0
2024,Number,Researchers from other developing and emerging countries,Saxony,code14,,,2267.0
2005,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,.,,
2006,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,136.0
2007,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,161.0
2008,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,175.0
2009,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,195.0
2010,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,227.0
2011,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,234.0
2012,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,277.0
2013,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,272.0
2014,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,270.0
2015,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,320.0
2016,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,321.0
2017,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,393.0
2018,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,470.0
2019,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,512.0
2020,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,544.0
2021,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,616.0
2022,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,632.0
2023,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,617.0
2024,Number,Researchers from other developing and emerging countries,Saxony-Anhalt,code15,,,762.0
2005,Number,Researchers from other developing and emerging countries,Schleswig-Holstein,code01,.,,
