Year,Value,Units
2011,1.56,billion euros
2012,1.66,billion euros
2013,1.95,billion euros
2014,2.34,billion euros
2015,2.684,billion euros
2016,3.362,billion euros
2017,3.65,billion euros
2018,3.37,billion euros
2019,4.34,billion euros
2020,5.09,billion euros
2021,5.34,billion euros
2022,6.39,billion euros
2023,5.66,billion euros
2025,,billion euros
