Year,Value,Units,Series
2024,77.0,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions
2023,,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions
2025,,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions
01.03.2023 - 30.08.2023,82.0,number,<u>additional time series:</u> productions of audiovisual media that meet ecological standards
01.09.2023 - 30.08.2024,234.0,number,<u>additional time series:</u> productions of audiovisual media that meet ecological standards
