Year,Value,Units
2011,257.93,"per 100,000 inhabitants"
2012,252.8,"per 100,000 inhabitants"
2013,253.78,"per 100,000 inhabitants"
2014,243.34,"per 100,000 inhabitants"
2015,249.22,"per 100,000 inhabitants"
2016,244.56,"per 100,000 inhabitants"
2017,241.05,"per 100,000 inhabitants"
2018,241.0,"per 100,000 inhabitants"
2019,231.41,"per 100,000 inhabitants"
2020,238.07,"per 100,000 inhabitants"
2021,252.54,"per 100,000 inhabitants"
2030,,"per 100,000 inhabitants"
