Year,Value,Units
2010,14.5,percentage
2011,16.1,percentage
2012,16.6,percentage
2013,16.4,percentage
2014,15.9,percentage
2015,15.6,percentage
2016,15.8,percentage
2017,14.5,percentage
2018,14.2,percentage
2019,13.9,percentage
2020,9.0,percentage
2021,11.0,percentage
2022,11.9,percentage
2023,13.0,percentage
2024,12.6,percentage
2030,,percentage
