Year,Value,Units,GeoCode
1991,2.4,percentage,
1992,2.28,percentage,
1993,2.21,percentage,
1994,2.13,percentage,
1995,2.14,percentage,
1996,2.19,percentage,
1997,2.35,percentage,
1998,2.41,percentage,
1999,2.4,percentage,
2000,2.39,percentage,
2001,2.38,percentage,
2002,2.41,percentage,
2003,2.44,percentage,
2004,2.4,percentage,
2005,2.4,percentage,
2006,2.43,percentage,
2007,2.42,percentage,
2008,2.57,percentage,
2009,2.69,percentage,
2010,2.68,percentage,
2011,2.75,percentage,
2012,2.82,percentage,
2013,2.78,percentage,
2014,2.82,percentage,
2015,2.88,percentage,
2016,2.88,percentage,
2017,2.99,percentage,
2018,3.05,percentage,
2019,3.11,percentage,
2020,3.09,percentage,
2021,3.08,percentage,
2022,3.07,percentage,
2025,,percentage,
