Year,Value,Units,GeoCode
2004,-5.096,m² per year,
2005,-4.971,m² per year,
2006,-4.848,m² per year,
2007,-4.728,m² per year,
2008,-4.609,m² per year,
2009,-4.33,m² per year,
2010,-4.035,m² per year,
2011,-4.223,m² per year,
2012,-3.798,m² per year,
2013,-3.636,m² per year,
2014,-3.693,m² per year,
2015,-2.876,m² per year,
2016,-2.715,m² per year,
2017,-2.764,m² per year,
2018,-2.795,m² per year,
2019,-2.766,m² per year,
2020,-2.836,m² per year,
2021,-2.711,m² per year,
