Year,Value,Units,Series
2006,23.0,percentage,xxxunbereinigter gender pay gap
2007,23.0,percentage,xxxunbereinigter gender pay gap
2008,23.0,percentage,xxxunbereinigter gender pay gap
2009,23.0,percentage,xxxunbereinigter gender pay gap
2010,22.0,percentage,xxxunbereinigter gender pay gap
2011,22.0,percentage,xxxunbereinigter gender pay gap
2012,23.0,percentage,xxxunbereinigter gender pay gap
2013,22.0,percentage,xxxunbereinigter gender pay gap
2014,22.0,percentage,xxxunbereinigter gender pay gap
2015,22.0,percentage,xxxunbereinigter gender pay gap
2016,21.0,percentage,xxxunbereinigter gender pay gap
2017,20.0,percentage,xxxunbereinigter gender pay gap
2018,20.0,percentage,xxxunbereinigter gender pay gap
2019,19.0,percentage,xxxunbereinigter gender pay gap
2020,18.0,percentage,xxxunbereinigter gender pay gap
2021,18.0,percentage,xxxunbereinigter gender pay gap
2022,18.0,percentage,xxxunbereinigter gender pay gap
2023,18.0,percentage,xxxunbereinigter gender pay gap
2024,16.0,percentage,xxxunbereinigter gender pay gap
2006,8.0,percentage,xxxbereinigter gender pay gap
2007,,percentage,xxxbereinigter gender pay gap
2008,,percentage,xxxbereinigter gender pay gap
2009,,percentage,xxxbereinigter gender pay gap
2010,7.0,percentage,xxxbereinigter gender pay gap
2011,,percentage,xxxbereinigter gender pay gap
2012,,percentage,xxxbereinigter gender pay gap
2013,,percentage,xxxbereinigter gender pay gap
2014,6.0,percentage,xxxbereinigter gender pay gap
2015,,percentage,xxxbereinigter gender pay gap
2016,,percentage,xxxbereinigter gender pay gap
2017,,percentage,xxxbereinigter gender pay gap
2018,6.0,percentage,xxxbereinigter gender pay gap
2019,,percentage,xxxbereinigter gender pay gap
2020,,percentage,xxxbereinigter gender pay gap
2021,,percentage,xxxbereinigter gender pay gap
2022,7.0,percentage,xxxbereinigter gender pay gap
2023,6.0,percentage,xxxbereinigter gender pay gap
2024,6.0,percentage,xxxbereinigter gender pay gap
