Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2005,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2006,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2007,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2008,Hectares per day,Calculated annual values,r,,Bremen,code04,0.0
2009,Hectares per day,Calculated annual values,-,,Bremen,code04,0.0
2010,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2011,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2012,Hectares per day,Calculated annual values,r,,Bremen,code04,1.0
2013,Hectares per day,Calculated annual values,-,,Bremen,code04,0.0
2014,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2015,Hectares per day,Calculated annual values,-,,Bremen,code04,0.0
2016,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2017,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2018,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2019,Hectares per day,Calculated annual values,-,,Bremen,code04,0.0
2020,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2021,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2022,Hectares per day,Calculated annual values,0,,Bremen,code04,0.0
2023,Hectares per day,Calculated annual values,…,,Bremen,code04,
2030,Hectares per day,Calculated annual values,…,,Bremen,code04,
1996,Hectares per day,Calculated annual values,,,Hamburg,code02,0.0
1997,Hectares per day,Calculated annual values,,,Hamburg,code02,
1998,Hectares per day,Calculated annual values,,,Hamburg,code02,
1999,Hectares per day,Calculated annual values,,,Hamburg,code02,
2000,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2001,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2002,Hectares per day,Calculated annual values,,,Hamburg,code02,1.0
2003,Hectares per day,Calculated annual values,,,Hamburg,code02,1.0
2004,Hectares per day,Calculated annual values,,,Hamburg,code02,1.0
2005,Hectares per day,Calculated annual values,,,Hamburg,code02,1.0
2006,Hectares per day,Calculated annual values,,,Hamburg,code02,1.0
2007,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2008,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2009,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2010,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2011,Hectares per day,Calculated annual values,-,,Hamburg,code02,0.0
2012,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2013,Hectares per day,Calculated annual values,r,,Hamburg,code02,1.0
2014,Hectares per day,Calculated annual values,,,Hamburg,code02,-1.0
2015,Hectares per day,Calculated annual values,,,Hamburg,code02,-1.0
2016,Hectares per day,Calculated annual values,,,Hamburg,code02,-1.0
2017,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2018,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2019,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2020,Hectares per day,Calculated annual values,-,,Hamburg,code02,0.0
2021,Hectares per day,Calculated annual values,0,,Hamburg,code02,0.0
2022,Hectares per day,Calculated annual values,0,,Hamburg,code02,-1.0
2023,Hectares per day,Calculated annual values,…,,Hamburg,code02,
2030,Hectares per day,Calculated annual values,…,,Hamburg,code02,
1996,Hectares per day,Calculated annual values,,,Hesse,code06,5.0
1997,Hectares per day,Calculated annual values,,,Hesse,code06,
1998,Hectares per day,Calculated annual values,,,Hesse,code06,
1999,Hectares per day,Calculated annual values,,,Hesse,code06,
2000,Hectares per day,Calculated annual values,,,Hesse,code06,5.0
2001,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2002,Hectares per day,Calculated annual values,,,Hesse,code06,5.0
2003,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2004,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2005,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2006,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2007,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2008,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2009,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2010,Hectares per day,Calculated annual values,r,,Hesse,code06,4.0
2011,Hectares per day,Calculated annual values,,,Hesse,code06,1.0
2012,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2013,Hectares per day,Calculated annual values,,,Hesse,code06,2.0
2014,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2015,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2016,Hectares per day,Calculated annual values,.,,Hesse,code06,
2017,Hectares per day,Calculated annual values,,,Hesse,code06,4.0
2018,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2019,Hectares per day,Calculated annual values,,,Hesse,code06,3.0
2020,Hectares per day,Calculated annual values,,,Hesse,code06,2.0
2021,Hectares per day,Calculated annual values,,,Hesse,code06,1.0
2022,Hectares per day,Calculated annual values,…,,Hesse,code06,
2023,Hectares per day,Calculated annual values,…,,Hesse,code06,
2030,Hectares per day,Calculated annual values,…,,Hesse,code06,
1996,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,5.0
1997,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,
1998,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,
1999,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,
2000,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,8.0
2001,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,7.0
2002,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,11.0
2003,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,9.0
2004,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,8.0
2005,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,7.0
2006,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,7.0
2007,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,7.0
2008,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,11.0
2009,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,8.0
2010,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,7.0
2011,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,3.0
2012,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,3.0
2013,Hectares per day,Calculated annual values,r,,Mecklenburg Western Pomerania,code13,2.0
2014,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,2.0
2015,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,5.0
2016,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,18.0
2017,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,-8.0
2018,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,1.0
2019,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,-1.0
2020,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,1.0
2021,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,1.0
2022,Hectares per day,Calculated annual values,,,Mecklenburg Western Pomerania,code13,1.0
2023,Hectares per day,Calculated annual values,…,,Mecklenburg Western Pomerania,code13,
2030,Hectares per day,Calculated annual values,…,,Mecklenburg Western Pomerania,code13,
1996,Hectares per day,Calculated annual values,,,Lower Saxony,code03,17.0
1997,Hectares per day,Calculated annual values,,,Lower Saxony,code03,
1998,Hectares per day,Calculated annual values,,,Lower Saxony,code03,
1999,Hectares per day,Calculated annual values,,,Lower Saxony,code03,
2000,Hectares per day,Calculated annual values,,,Lower Saxony,code03,16.0
2001,Hectares per day,Calculated annual values,,,Lower Saxony,code03,15.0
2002,Hectares per day,Calculated annual values,,,Lower Saxony,code03,12.0
2003,Hectares per day,Calculated annual values,,,Lower Saxony,code03,13.0
2004,Hectares per day,Calculated annual values,,,Lower Saxony,code03,18.0
2005,Hectares per day,Calculated annual values,,,Lower Saxony,code03,14.0
2006,Hectares per day,Calculated annual values,,,Lower Saxony,code03,12.0
2007,Hectares per day,Calculated annual values,,,Lower Saxony,code03,10.0
2008,Hectares per day,Calculated annual values,,,Lower Saxony,code03,11.0
2009,Hectares per day,Calculated annual values,,,Lower Saxony,code03,9.0
2010,Hectares per day,Calculated annual values,,,Lower Saxony,code03,8.0
2011,Hectares per day,Calculated annual values,,,Lower Saxony,code03,15.0
2012,Hectares per day,Calculated annual values,,,Lower Saxony,code03,10.0
2013,Hectares per day,Calculated annual values,,,Lower Saxony,code03,9.0
2014,Hectares per day,Calculated annual values,,,Lower Saxony,code03,10.0
2015,Hectares per day,Calculated annual values,,,Lower Saxony,code03,10.0
2016,Hectares per day,Calculated annual values,,,Lower Saxony,code03,1.0
2017,Hectares per day,Calculated annual values,r,,Lower Saxony,code03,7.0
2018,Hectares per day,Calculated annual values,,,Lower Saxony,code03,7.0
2019,Hectares per day,Calculated annual values,,,Lower Saxony,code03,6.0
2020,Hectares per day,Calculated annual values,,,Lower Saxony,code03,7.0
2021,Hectares per day,Calculated annual values,,,Lower Saxony,code03,6.0
2022,Hectares per day,Calculated annual values,,,Lower Saxony,code03,5.0
2023,Hectares per day,Calculated annual values,…,,Lower Saxony,code03,
2030,Hectares per day,Calculated annual values,…,,Lower Saxony,code03,
1996,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,16.0
1997,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,
1998,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,
1999,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,
2000,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,17.0
2001,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,16.0
2002,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,19.0
2003,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,9.0
2004,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,20.0
2005,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,13.0
2006,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,14.0
2007,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,14.0
2008,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,15.0
2009,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,9.0
2010,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,12.0
2011,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,10.0
2012,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,10.0
2013,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,9.0
2014,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,9.0
2015,Hectares per day,Calculated annual values,r,,North Rhine-Westphalia,code05,9.0
2016,Hectares per day,Calculated annual values,.,,North Rhine-Westphalia,code05,
2017,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,6.0
2018,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,5.0
2019,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,8.0
2020,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,6.0
2021,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,5.0
2022,Hectares per day,Calculated annual values,,,North Rhine-Westphalia,code05,6.0
2023,Hectares per day,Calculated annual values,…,,North Rhine-Westphalia,code05,
2030,Hectares per day,Calculated annual values,…,,North Rhine-Westphalia,code05,
1996,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
1997,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,
1998,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,
1999,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,
2000,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2001,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2002,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2003,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,4.0
2004,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,8.0
2005,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,8.0
2006,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2007,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2008,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,3.0
2009,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,1.0
2010,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,1.0
2011,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,1.0
2012,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,2.0
2013,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,1.0
2014,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,1.0
2015,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,-1.0
2016,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,2.0
2017,Hectares per day,Calculated annual values,0,,Rhineland Palatinate,code07,0.0
2018,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,2.0
2019,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,2.0
2020,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,5.0
2021,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,9.0
2022,Hectares per day,Calculated annual values,,,Rhineland Palatinate,code07,7.0
2023,Hectares per day,Calculated annual values,…,,Rhineland Palatinate,code07,
2030,Hectares per day,Calculated annual values,…,,Rhineland Palatinate,code07,
1996,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
1997,Hectares per day,Calculated annual values,,,Saarland,code10,
1998,Hectares per day,Calculated annual values,,,Saarland,code10,
1999,Hectares per day,Calculated annual values,,,Saarland,code10,
2000,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2001,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2002,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2003,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2004,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2005,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2006,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2007,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2008,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2009,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2010,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2011,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2012,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2013,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2014,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2015,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2016,Hectares per day,Calculated annual values,,,Saarland,code10,3.0
2017,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2018,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2019,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2020,Hectares per day,Calculated annual values,0,,Saarland,code10,0.0
2021,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2022,Hectares per day,Calculated annual values,,,Saarland,code10,1.0
2023,Hectares per day,Calculated annual values,…,,Saarland,code10,
2030,Hectares per day,Calculated annual values,…,,Saarland,code10,
1996,Hectares per day,Calculated annual values,,,Saxony,code14,9.0
1997,Hectares per day,Calculated annual values,,,Saxony,code14,
1998,Hectares per day,Calculated annual values,,,Saxony,code14,
1999,Hectares per day,Calculated annual values,,,Saxony,code14,
2000,Hectares per day,Calculated annual values,,,Saxony,code14,8.0
2001,Hectares per day,Calculated annual values,,,Saxony,code14,8.0
2002,Hectares per day,Calculated annual values,,,Saxony,code14,6.0
2003,Hectares per day,Calculated annual values,,,Saxony,code14,4.0
2004,Hectares per day,Calculated annual values,,,Saxony,code14,3.0
2005,Hectares per day,Calculated annual values,,,Saxony,code14,3.0
2006,Hectares per day,Calculated annual values,,,Saxony,code14,5.0
2007,Hectares per day,Calculated annual values,,,Saxony,code14,11.0
2008,Hectares per day,Calculated annual values,,,Saxony,code14,7.0
2009,Hectares per day,Calculated annual values,,,Saxony,code14,10.0
2010,Hectares per day,Calculated annual values,,,Saxony,code14,7.0
2011,Hectares per day,Calculated annual values,,,Saxony,code14,6.0
2012,Hectares per day,Calculated annual values,,,Saxony,code14,6.0
2013,Hectares per day,Calculated annual values,,,Saxony,code14,3.0
2014,Hectares per day,Calculated annual values,.,,Saxony,code14,
2015,Hectares per day,Calculated annual values,.,,Saxony,code14,
2016,Hectares per day,Calculated annual values,,,Saxony,code14,3.0
2017,Hectares per day,Calculated annual values,,,Saxony,code14,5.0
2018,Hectares per day,Calculated annual values,,,Saxony,code14,5.0
2019,Hectares per day,Calculated annual values,,,Saxony,code14,5.0
2020,Hectares per day,Calculated annual values,,,Saxony,code14,6.0
2021,Hectares per day,Calculated annual values,,,Saxony,code14,6.0
2022,Hectares per day,Calculated annual values,,,Saxony,code14,5.0
2023,Hectares per day,Calculated annual values,…,,Saxony,code14,
2030,Hectares per day,Calculated annual values,…,,Saxony,code14,
1996,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,9.0
1997,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,
1998,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,
1999,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,
2000,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,10.0
2001,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,11.0
2002,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,4.0
2003,Hectares per day,Calculated annual values,r,,Saxony-Anhalt,code15,9.0
2004,Hectares per day,Calculated annual values,r,,Saxony-Anhalt,code15,27.0
2005,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,25.0
2006,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,12.0
2007,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,1.0
2008,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,3.0
2009,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,0.0
2010,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,-2.0
2011,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,-1.0
2012,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,0.0
2013,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,0.0
2014,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,2.0
2015,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,1.0
2016,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,2.0
2017,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,1.0
2018,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,0.0
2019,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,2.0
2020,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,1.0
2021,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,1.0
2022,Hectares per day,Calculated annual values,,,Saxony-Anhalt,code15,2.0
2023,Hectares per day,Calculated annual values,…,,Saxony-Anhalt,code15,
2030,Hectares per day,Calculated annual values,…,,Saxony-Anhalt,code15,
1996,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
1997,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,
1998,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,
1999,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,
2000,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,4.0
2001,Hectares per day,Calculated annual values,.,,Schleswig-Holstein,code01,
2002,Hectares per day,Calculated annual values,.,,Schleswig-Holstein,code01,
2003,Hectares per day,Calculated annual values,.,,Schleswig-Holstein,code01,
2004,Hectares per day,Calculated annual values,.,,Schleswig-Holstein,code01,
2005,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,5.0
2006,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,7.0
2007,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,7.0
2008,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2009,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2010,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2011,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,5.0
2012,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,2.0
2013,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2014,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2015,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2016,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,1.0
2017,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2018,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2019,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,2.0
2020,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,6.0
2021,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,4.0
2022,Hectares per day,Calculated annual values,,,Schleswig-Holstein,code01,3.0
2023,Hectares per day,Calculated annual values,…,,Schleswig-Holstein,code01,
2030,Hectares per day,Calculated annual values,…,,Schleswig-Holstein,code01,
1996,Hectares per day,Calculated annual values,,,Thuringia,code16,6.0
1997,Hectares per day,Calculated annual values,,,Thuringia,code16,
1998,Hectares per day,Calculated annual values,,,Thuringia,code16,
1999,Hectares per day,Calculated annual values,,,Thuringia,code16,
2000,Hectares per day,Calculated annual values,,,Thuringia,code16,4.0
2001,Hectares per day,Calculated annual values,,,Thuringia,code16,2.0
2002,Hectares per day,Calculated annual values,,,Thuringia,code16,4.0
2003,Hectares per day,Calculated annual values,,,Thuringia,code16,2.0
2004,Hectares per day,Calculated annual values,,,Thuringia,code16,1.0
2005,Hectares per day,Calculated annual values,,,Thuringia,code16,2.0
2006,Hectares per day,Calculated annual values,,,Thuringia,code16,2.0
2007,Hectares per day,Calculated annual values,r,,Thuringia,code16,2.0
2008,Hectares per day,Calculated annual values,,,Thuringia,code16,3.0
2009,Hectares per day,Calculated annual values,,,Thuringia,code16,3.0
2010,Hectares per day,Calculated annual values,,,Thuringia,code16,4.0
2011,Hectares per day,Calculated annual values,,,Thuringia,code16,5.0
2012,Hectares per day,Calculated annual values,,,Thuringia,code16,5.0
2013,Hectares per day,Calculated annual values,,,Thuringia,code16,3.0
2014,Hectares per day,Calculated annual values,,,Thuringia,code16,8.0
2015,Hectares per day,Calculated annual values,,,Thuringia,code16,3.0
2016,Hectares per day,Calculated annual values,,,Thuringia,code16,9.0
2017,Hectares per day,Calculated annual values,.,,Thuringia,code16,
2018,Hectares per day,Calculated annual values,.,,Thuringia,code16,
2019,Hectares per day,Calculated annual values,,,Thuringia,code16,2.0
2020,Hectares per day,Calculated annual values,,,Thuringia,code16,1.0
2021,Hectares per day,Calculated annual values,,,Thuringia,code16,1.0
2022,Hectares per day,Calculated annual values,,,Thuringia,code16,0.0
2023,Hectares per day,Calculated annual values,…,,Thuringia,code16,
2030,Hectares per day,Calculated annual values,…,,Thuringia,code16,
