Year,Units,Time series,COMMENT_OBS_0,Type of area,Federal state,GeoCode,Value
2009,Hectares per day,Moving four-year average,,Settlement area (built on),,,33.0
2010,Hectares per day,Moving four-year average,,Settlement area (built on),,,34.0
2011,Hectares per day,Moving four-year average,,Settlement area (built on),,,31.0
2012,Hectares per day,Moving four-year average,,Settlement area (built on),,,33.0
2013,Hectares per day,Moving four-year average,,Settlement area (built on),,,33.0
2014,Hectares per day,Moving four-year average,,Settlement area (built on),,,30.0
2015,Hectares per day,Moving four-year average,,Settlement area (built on),,,33.0
2016,Hectares per day,Moving four-year average,.,Settlement area (built on),,,
2017,Hectares per day,Moving four-year average,.,Settlement area (built on),,,
2018,Hectares per day,Moving four-year average,.,Settlement area (built on),,,
2019,Hectares per day,Moving four-year average,.,Settlement area (built on),,,
2020,Hectares per day,Moving four-year average,r,Settlement area (built on),,,34.0
2021,Hectares per day,Moving four-year average,r,Settlement area (built on),,,36.0
2022,Hectares per day,Moving four-year average,r,Settlement area (built on),,,37.0
2023,Hectares per day,Moving four-year average,,Settlement area (built on),,,38.0
2030,Hectares per day,Moving four-year average,…,Settlement area (built on),,,
1996,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,10.0
1997,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,
1998,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,
1999,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,
2000,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,12.0
2001,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2002,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2003,Hectares per day,Moving four-year average,.,,Baden-Wuerttemberg,code08,
2004,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,10.0
2005,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,10.0
2006,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,9.0
2007,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,9.0
2008,Hectares per day,Moving four-year average,,,Baden-Wuerttemberg,code08,9.0
