Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,153,31
bavaria,150,31
berlin,161,31
brandenburg,152,31
bremen,155,31
hamburg,153,31
hesse,159,31
lower saxony,156,31
mecklenburg western pomerania,150,31
north rhine-westphalia,153,31
rhineland palatinate,152,31
saarland,149,31
saxony-anhalt,151,31
saxony,151,31
schleswig-holstein,152,31
thuringia,150,31
