Value,Disaggregation combinations using this value,Number of indicators
baden-wuerttemberg,98,27
bavaria,150,27
berlin,52,26
brandenburg,72,27
bremen,53,26
hamburg,52,26
hesse,80,27
lower saxony,100,27
mecklenburg western pomerania,61,26
north rhine-westphalia,107,27
rhineland palatinate,90,27
saarland,58,26
saxony-anhalt,68,27
saxony,67,27
schleswig-holstein,69,27
thuringia,77,27
