Indicator,Disaggregation combinations using this value
#1-1-ab,2
#10-1,10
#10-2,3
#11-1-a,6
#11-1-c,4
#11-2-c,3
#12-2-a,5
#13-1-a,3
#17-2,8
#2-1-b,3
#3-1-cd,4
#3-1-f,6
#4-1-a,12
#4-1-b,15
#4-2-ab,4
#5-1-a,3
#5-1-d,2
#6-1-b,1
#7-1-ab,5
#7-2-a,2
#7-2-b,2
#8-2-ab,3
#8-2-c,4
#8-3,5
#8-4,2
#8-5-ab,18
#9-1-a,2
#9-1-b,3
