Value,Disaggregation combinations using this value,Number of indicators
ortenaukreis,1,1
"osnabrück, stadt",1,1
osnabrück,1,1
ostalbkreis,1,1
ostallgäu,1,1
osterholz,1,1
osterode am harz,1,1
ostholstein,1,1
ostprignitz-ruppin,1,1
paderborn,1,1
"passau, stadt",1,1
passau,1,1
peine,1,1
pfaffenhofen an der ilm,1,1
"pforzheim, stadt",1,1
pinneberg,1,1
"pirmasens, stadt",1,1
plön,1,1
potsdam-mittelmark,1,1
"potsdam, stadt",1,1
prignitz,1,1
rastatt,1,1
ravensburg,1,1
recklinghausen,1,1
regen,1,1
"regensburg, stadt",1,1
regensburg,1,1
region hannover,1,1
rems-murr-kreis,1,1
"remscheid, stadt",1,1
rendsburg-eckernförde,1,1
reutlingen,1,1
rhein-erft-kreis,1,1
rhein-hunsrück-kreis,1,1
rhein-kreis neuss,1,1
rhein-lahn-kreis,1,1
rhein-neckar-kreis,1,1
rhein-pfalz-kreis,1,1
rhein-sieg-kreis,1,1
rheingau-taunus-kreis,1,1
rheinisch-bergischer kreis,1,1
rhön-grabfeld,1,1
"rosenheim, stadt",1,1
rosenheim,1,1
"rostock, stadt",1,1
rostock,1,1
rotenburg (wümme),1,1
roth,1,1
rottal-inn,1,1
rottweil,1,1
saale-holzland-kreis,1,1
saale-orla-kreis,1,1
saalekreis,1,1
saalfeld-rudolstadt,1,1
"saarbrücken, regionalverband",1,1
saarlouis,1,1
saarpfalz-kreis,1,1
"salzgitter, stadt",1,1
salzlandkreis,1,1
schaumburg,1,1
schleswig-flensburg,1,1
schmalkalden-meiningen,1,1
"schwabach, stadt",1,1
schwalm-eder-kreis,1,1
schwandorf,1,1
schwarzwald-baar-kreis,1,1
"schweinfurt, stadt",1,1
schweinfurt,1,1
"schwerin, stadt",1,1
schwäbisch hall,1,1
segeberg,1,1
siegen-wittgenstein,1,1
sigmaringen,1,1
soest,1,1
"solingen, stadt",1,1
sonneberg,1,1
"speyer, stadt",1,1
spree-neiße,1,1
st. wendel,1,1
stade,1,1
starnberg,1,1
steinburg,1,1
steinfurt,1,1
stendal,1,1
stormarn,1,1
straubing-bogen,1,1
"straubing, stadt",1,1
"stuttgart, stadt",1,1
städteregion aachen,1,1
"suhl, stadt",1,1
sächsische schweiz-osterzgebirge,1,1
sömmerda,1,1
südliche weinstraße,1,1
südwestpfalz,1,1
teltow-fläming,1,1
tirschenreuth,1,1
traunstein,1,1
trier-saarburg,1,1
"trier, stadt",1,1
tuttlingen,1,1
tübingen,1,1
uckermark,1,1
uelzen,1,1
"ulm, stadt",1,1
unna,1,1
unstrut-hainich-kreis,1,1
unterallgäu,1,1
vechta,1,1
verden,1,1
viersen,1,1
vogelsbergkreis,1,1
vogtlandkreis,1,1
vorpommern-greifswald,1,1
vorpommern-rügen,1,1
vulkaneifel,1,1
waldeck-frankenberg,1,1
waldshut,1,1
warendorf,1,1
wartburgkreis,1,1
"weiden in der oberpfalz, stadt",1,1
weilheim-schongau,1,1
"weimar, stadt",1,1
weimarer land,1,1
weißenburg-gunzenhausen,1,1
werra-meißner-kreis,1,1
wesel,1,1
wesermarsch,1,1
westerwaldkreis,1,1
wetteraukreis,1,1
"wiesbaden, stadt",1,1
"wilhelmshaven, stadt",1,1
wittenberg,1,1
wittmund,1,1
wolfenbüttel,1,1
"wolfsburg, stadt",1,1
"worms, stadt",1,1
wunsiedel im fichtelgebirge,1,1
"wuppertal, stadt",1,1
"würzburg, stadt",1,1
würzburg,1,1
zollernalbkreis,1,1
"zweibrücken, stadt",1,1
zwickau,1,1
