Indicator
#10-1
#10-2
#11-1-a
#11-1-b
#11-1-c
#11-2-c
#12-2
#13-1-a
#16-1
#17-2
#2-1-b
#3-1-ab
#3-1-cd
#3-1-f
#4-1-a
#4-1-b
#4-2-ab
#5-1-a
#5-1-d
#6-1-b
#7-1-ab
#7-2-a
#7-2-b
#8-2-ab
#8-2-c
#8-3
#8-4
#8-5-ab
#9-1-a
#9-1-b
