Indicator,Disaggregation combinations using this value
#1-1-ab,8
#10-1,39
#11-3-a,2
#16-2,3
#3-1-a,6
#3-1-cd,7
#3-1-e,6
#3-1-f,60
#4-1-a,60
#4-1-b,109
#4-3-a,3
#4-3-b,3
#8-5-ab,102
