Indicator,Disaggregation combinations using this value
#12-1-b,1
#12-2-a,1
#13-1-a,2
#17-1,1
#17-3,2
#2-1-a,2
#3-1-cd,18
#3-3,2
#4-1-a,35
#4-1-b,66
#4-3-b,4
#5-1-a,16
#5-1-e,3
#7-1-ab,14
#7-2-a,3
#7-2-b,6
#8-1,5
#8-2-ab,3
#8-2-c,17
#8-3,17
#8-4,17
