Indicator,Disaggregation combinations using this value
#1-1-ab,5
#10-2,1
#11-1-a,23
#11-2-a,2
#11-2-b,3
#11-3-a,1
#12-1-a,1
#12-1-b,1
#12-3-abc,1
#12-4,2
#13-1-a,7
#14-1-b,1
#15-1,6
#15-3,2
#16-3-ab,1
#17-1,1
#17-3,1
#2-1-a,2
#2-1-b,1
#4-1-a,3
#4-1-b,66
#5-1-a,17
#5-1-e,3
#6-1-a,1
#7-1-ab,23
#7-2-a,4
#7-2-b,7
#8-1,2
#8-2-ab,38
#8-2-c,34
#8-3,18
#8-4,2
#8-5-ab,102
