Indicator,Disaggregation combinations using this value
#1-1-ab,2
#10-1,14
#10-2,2
#11-1-a,9
#11-1-c,6
#11-2-c,3
#11-3-a,3
#12-2-a,7
#13-1-a,3
#15-3,3
#17-2,6
#2-1-b,3
#3-1-cd,4
#3-1-f,6
#4-1-a,13
#4-1-b,21
#4-2-ab,4
#5-1-a,4
#5-1-d,3
#5-1-e,9
#6-1-b,1
#7-1-ab,7
#7-2-a,2
#7-2-b,5
#8-2-ab,5
#8-2-c,4
#8-3,4
#8-4,3
#8-5-ab,30
#9-1-a,2
#9-1-b,3
