Indicator,Disaggregation combinations using this value
#1-1-ab,22
#10-1,4
#10-2,19
#11-1-a,27
#11-2-c,18
#11-3-a,16
#12-2-a,16
#12-2-b,1
#12-3-abc,2
#13-1-a,16
#15-2,1
#15-3,17
#15-4,4
#16-2,4
#16-3-ab,1
#16-4,4
#17-2,48
#2-1-b,17
#2-2,1
#3-1-cd,22
#3-1-f,90
#4-1-a,48
#4-1-b,58
#4-1-c,1
#4-3-a,2
#5-1-a,1
#5-1-bc,2
#5-1-d,1
#6-1-b,1
#6-2-ab,3
#7-1-ab,3
#7-2-a,2
#7-2-b,4
#8-2-ab,16
