Value,Disaggregation combinations using this value,Number of indicators
xxxhochschulen,1,1
xxxnachhaltige bewirtschaftete fläche,1,1
xxxstaat und private institutionen ohne erwerbszweck,1,1
xxxterrestrische schutzgebiete und mangrovenwälder in marinen schutzgebieten,1,1
xxxwaldfläche nachhaltige bewirtschaftung und wiederherstellung,1,1
xxxwirtschaft,1,1
