Value,Disaggregation combinations using this value,Number of indicators
11 to under 18 years,9,1
18 to under 20 years,3,1
20 to under 25 years,3,1
25 to under 30 years,3,1
3 to under 11 years,9,1
30 to under 35 years,3,1
35 to under 40 years,3,1
40 to under 45 years,3,1
45 to under 50 years,3,1
50 to under 55 years,3,1
55 to under 60 years,3,1
60 to under 65 years,3,1
65 to under 70 years,3,1
70 to under 75 years,3,1
75 years and older,3,1
