Indicator,Disaggregation combinations using this value
#10-1,5
#10-2,1
#11-1-a,7
#11-1-c,2
#11-2-c,1
#12-2-a,2
#17-2,5
#2-1-b,1
#3-1-cd,2
#3-1-f,3
#4-1-a,4
#4-1-b,9
#4-2-ab,2
#5-1-a,3
#5-1-d,1
#7-1-ab,3
#7-2-a,1
#7-2-b,2
#8-2-ab,1
#8-2-c,3
#8-3,4
#8-4,2
#8-5-ab,12
#9-1-a,2
#9-1-b,3
