Year,Units,Value
2011,Billion euros,1.56
2012,Billion euros,1.66
2013,Billion euros,1.95
2014,Billion euros,2.34
2015,Billion euros,2.684
2016,Billion euros,3.362
2017,Billion euros,3.65
2018,Billion euros,3.37
2019,Billion euros,4.34
2020,Billion euros,5.09
2021,Billion euros,5.34
2022,Billion euros,6.39
2023,Billion euros,5.66
2025,Billion euros,
