Year,Units,Value
2010,percentage,14.5
2011,percentage,16.1
2012,percentage,16.6
2013,percentage,16.4
2014,percentage,15.9
2015,percentage,15.6
2016,percentage,15.8
2017,percentage,14.5
2018,percentage,14.2
2019,percentage,13.9
2020,percentage,9.0
2021,percentage,11.0
2030,percentage,
