Year,Units,Value
2011,billion euros,1.56
2012,billion euros,1.66
2013,billion euros,1.95
2014,billion euros,2.34
2015,billion euros,2.684
2016,billion euros,3.362
2017,billion euros,3.65
2018,billion euros,3.37
2019,billion euros,4.34
2020,billion euros,5.09
2021,billion euros,5.34
2022,billion euros,6.39
2023,billion euros,5.66
2025,billion euros,
