Year,Units,criminal offences,federal state,GeoCode,Value
2021,"per 100,000 inhabitants",other offences,saxony,code14,5140.81915413608
2022,"per 100,000 inhabitants",other offences,saxony,code14,5659.656
2023,"per 100,000 inhabitants",other offences,saxony,code14,6279.47761120977
2010,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6529.06951687282
2011,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6650.21028246886
2012,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6811.9887417777
2013,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,7050.7
2014,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,7158.2
2015,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,7472.44076172822
2016,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,7414.21617745951
2017,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6960.57510513126
2018,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6576.63845806788
2019,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6549.41016274355
2020,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6739.21145699208
2021,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6463.79759745108
2022,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,6707.931
2023,"per 100,000 inhabitants",other offences,saxony-anhalt,code15,7188.69060930385
2010,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,6562.77640206847
2011,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,6495.40343426422
2012,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,6310.03623496128
2013,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5911.3
2014,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,6012.1
2015,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5999.08720447185
2016,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,6108.9706770247
2017,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5530.01707885629
2018,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5473.3493873842
2019,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5347.06246254374
2020,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5085.00492290547
2021,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,4931.3007257268
2022,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5500.299
2023,"per 100,000 inhabitants",other offences,schleswig-holstein,code01,5723.85863805206
2010,"per 100,000 inhabitants",other offences,thuringia,code16,4934.02405782557
2011,"per 100,000 inhabitants",other offences,thuringia,code16,5041.8522108608
2012,"per 100,000 inhabitants",other offences,thuringia,code16,5164.45934480288
2013,"per 100,000 inhabitants",other offences,thuringia,code16,5297.3
2014,"per 100,000 inhabitants",other offences,thuringia,code16,5338.8
2015,"per 100,000 inhabitants",other offences,thuringia,code16,5313.5746738509
2016,"per 100,000 inhabitants",other offences,thuringia,code16,5697.48018393948
2017,"per 100,000 inhabitants",other offences,thuringia,code16,5470.57449789818
2018,"per 100,000 inhabitants",other offences,thuringia,code16,5460.56744940626
2019,"per 100,000 inhabitants",other offences,thuringia,code16,4955.28767302259
2020,"per 100,000 inhabitants",other offences,thuringia,code16,5546.50886997053
2021,"per 100,000 inhabitants",other offences,thuringia,code16,5051.60507999813
2022,"per 100,000 inhabitants",other offences,thuringia,code16,5294.844
2023,"per 100,000 inhabitants",other offences,thuringia,code16,5855.94819747175
