Year,Units,Value
2006,number,8.0
2007,number,6.0
2008,number,8.0
2009,number,2.0
2010,number,3.0
2011,number,11.0
2012,number,15.0
2013,number,14.0
2014,number,15.0
2015,number,26.0
2016,number,26.0
2017,number,19.0
2018,number,36.0
2019,number,31.0
2020,number,38.0
2021,number,38.0
