Year,Units,Series,Value
2024,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions,77.0
2023,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions,
2025,number,<u>time series of the indicator:</u> sustainability-certified cultural and media institutions,
01.03.2023 - 30.08.2023,number,<u>additional time series:</u> productions of audiovisual media that meet ecological standards,82.0
01.09.2023 - 30.08.2024,number,<u>additional time series:</u> productions of audiovisual media that meet ecological standards,234.0
