Year,Units,Series,Meer,Value
2003,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,33.333
2004,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,23.333
2005,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,20.0
2006,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,16.667
2007,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,20.0
2008,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,26.667
2009,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,36.667
2010,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,40.0
2011,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,40.0
2012,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,50.0
2013,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,43.333
2014,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,40.0
2015,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,43.333
2016,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,43.333
2017,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,43.333
2018,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,43.333
2019,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,46.667
2020,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,,60.0
2003,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2004,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,27.273
2005,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,22.727
2006,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,18.182
2007,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,22.727
2008,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,27.273
2009,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2010,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2011,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2012,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,50.0
2013,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,40.909
2014,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,36.364
2015,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2016,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2017,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2018,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2019,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,45.455
2020,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Nordsee,59.091
2003,Prozent,Nachhaltig bewirtschaftete Fischbestände an allen MSY-untersuchten Beständen,Ostsee,12.5
