Year,Units,time series,type of area,Value
2009,hectares per day,calculated annual values,,78.0
2010,hectares per day,calculated annual values,,77.0
2011,hectares per day,calculated annual values,,74.0
2012,hectares per day,calculated annual values,,69.0
2013,hectares per day,calculated annual values,,71.0
2014,hectares per day,calculated annual values,,63.0
2015,hectares per day,calculated annual values,,62.0
2016,hectares per day,calculated annual values,,51.0
2017,hectares per day,calculated annual values,,55.0
2018,hectares per day,calculated annual values,,58.0
2019,hectares per day,calculated annual values,,45.0
2020,hectares per day,calculated annual values,,55.0
2021,hectares per day,calculated annual values,,52.0
2022,hectares per day,calculated annual values,,45.0
2023,hectares per day,calculated annual values,,53.0
2030,hectares per day,calculated annual values,,
1996,hectares per day,calculated annual values,transport area,24.0
1997,hectares per day,calculated annual values,transport area,21.0
1998,hectares per day,calculated annual values,transport area,23.0
1999,hectares per day,calculated annual values,transport area,23.0
2000,hectares per day,calculated annual values,transport area,24.0
2001,hectares per day,calculated annual values,transport area,23.0
2002,hectares per day,calculated annual values,transport area,22.0
2003,hectares per day,calculated annual values,transport area,20.0
2004,hectares per day,calculated annual values,transport area,25.0
2005,hectares per day,calculated annual values,transport area,25.0
2006,hectares per day,calculated annual values,transport area,24.0
2007,hectares per day,calculated annual values,transport area,24.0
2008,hectares per day,calculated annual values,transport area,21.0
2009,hectares per day,calculated annual values,transport area,18.0
2010,hectares per day,calculated annual values,transport area,21.0
2011,hectares per day,calculated annual values,transport area,17.0
2012,hectares per day,calculated annual values,transport area,11.0
2013,hectares per day,calculated annual values,transport area,19.0
2014,hectares per day,calculated annual values,transport area,23.0
2015,hectares per day,calculated annual values,transport area,10.0
2016,hectares per day,calculated annual values,transport area,
2017,hectares per day,calculated annual values,transport area,8.0
2018,hectares per day,calculated annual values,transport area,16.0
2019,hectares per day,calculated annual values,transport area,2.0
2020,hectares per day,calculated annual values,transport area,36.0
2021,hectares per day,calculated annual values,transport area,2.0
2022,hectares per day,calculated annual values,transport area,-4.0
2023,hectares per day,calculated annual values,transport area,2.0
1996,hectares per day,calculated annual values,"recreation area, cemetery",9.0
1997,hectares per day,calculated annual values,"recreation area, cemetery",20.0
1998,hectares per day,calculated annual values,"recreation area, cemetery",21.0
1999,hectares per day,calculated annual values,"recreation area, cemetery",21.0
2000,hectares per day,calculated annual values,"recreation area, cemetery",21.0
2001,hectares per day,calculated annual values,"recreation area, cemetery",29.0
2002,hectares per day,calculated annual values,"recreation area, cemetery",21.0
2003,hectares per day,calculated annual values,"recreation area, cemetery",34.0
2004,hectares per day,calculated annual values,"recreation area, cemetery",46.0
2005,hectares per day,calculated annual values,"recreation area, cemetery",57.0
2006,hectares per day,calculated annual values,"recreation area, cemetery",52.0
2007,hectares per day,calculated annual values,"recreation area, cemetery",33.0
2008,hectares per day,calculated annual values,"recreation area, cemetery",39.0
2009,hectares per day,calculated annual values,"recreation area, cemetery",32.0
2010,hectares per day,calculated annual values,"recreation area, cemetery",23.0
2011,hectares per day,calculated annual values,"recreation area, cemetery",27.0
2012,hectares per day,calculated annual values,"recreation area, cemetery",18.0
2013,hectares per day,calculated annual values,"recreation area, cemetery",23.0
2014,hectares per day,calculated annual values,"recreation area, cemetery",18.0
2015,hectares per day,calculated annual values,"recreation area, cemetery",12.0
2016,hectares per day,calculated annual values,"recreation area, cemetery",
2017,hectares per day,calculated annual values,"recreation area, cemetery",15.0
2018,hectares per day,calculated annual values,"recreation area, cemetery",10.0
2019,hectares per day,calculated annual values,"recreation area, cemetery",10.0
2020,hectares per day,calculated annual values,"recreation area, cemetery",12.0
2021,hectares per day,calculated annual values,"recreation area, cemetery",11.0
2022,hectares per day,calculated annual values,"recreation area, cemetery",12.0
2023,hectares per day,calculated annual values,"recreation area, cemetery",17.0
1996,hectares per day,calculated annual values,settlement area (built on),87.0
1997,hectares per day,calculated annual values,settlement area (built on),83.0
1998,hectares per day,calculated annual values,settlement area (built on),87.0
1999,hectares per day,calculated annual values,settlement area (built on),87.0
2000,hectares per day,calculated annual values,settlement area (built on),87.0
2001,hectares per day,calculated annual values,settlement area (built on),70.0
2002,hectares per day,calculated annual values,settlement area (built on),66.0
2003,hectares per day,calculated annual values,settlement area (built on),45.0
2004,hectares per day,calculated annual values,settlement area (built on),60.0
2005,hectares per day,calculated annual values,settlement area (built on),35.0
2006,hectares per day,calculated annual values,settlement area (built on),30.0
2007,hectares per day,calculated annual values,settlement area (built on),40.0
2008,hectares per day,calculated annual values,settlement area (built on),35.0
2009,hectares per day,calculated annual values,settlement area (built on),28.0
2010,hectares per day,calculated annual values,settlement area (built on),33.0
2011,hectares per day,calculated annual values,settlement area (built on),30.0
2012,hectares per day,calculated annual values,settlement area (built on),40.0
2013,hectares per day,calculated annual values,settlement area (built on),29.0
2014,hectares per day,calculated annual values,settlement area (built on),22.0
2015,hectares per day,calculated annual values,settlement area (built on),40.0
2016,hectares per day,calculated annual values,settlement area (built on),
2017,hectares per day,calculated annual values,settlement area (built on),32.0
2018,hectares per day,calculated annual values,settlement area (built on),32.0
2019,hectares per day,calculated annual values,settlement area (built on),33.0
2020,hectares per day,calculated annual values,settlement area (built on),40.0
2021,hectares per day,calculated annual values,settlement area (built on),39.0
2022,hectares per day,calculated annual values,settlement area (built on),37.0
2023,hectares per day,calculated annual values,settlement area (built on),34.0
