Year,Units,Value
2007,Millionen,29.659
2008,Millionen,21.016
2009,Millionen,31.126
2010,Millionen,34.611
2011,Millionen,36.372
2012,Millionen,12.507
2013,Millionen,17.184
2014,Millionen,11.904
2015,Millionen,4.987
2016,Millionen,3.842
2017,Millionen,2.539
2018,Millionen,2.9
2019,Millionen,0.2
2020,Millionen,0.04
2030,Millionen,
