Year,Units,COMMENT_OBS_0,COMMENT_OBS_1,Value
2014,Prozent,,,15.587
2015,Prozent,,,15.082
2016,Prozent,,,14.766
2017,Prozent,,,14.338
2018,Prozent,,,14.021
2019,Prozent,,,13.949
2020,Prozent,,,14.194
2021,Prozent,,,13.269
2022,Prozent,r,p,12.37
2023,Prozent,r,p,11.564
2024,Prozent,r,p,11.194
2025,Prozent,,,10.86
2030,Prozent,…,,
