Year,Value,Units,GeoCode
2005,10.3,Prozent,
2006,11.7,Prozent,
2007,14.4,Prozent,
2008,15.3,Prozent,
2009,16.6,Prozent,
2010,17.2,Prozent,
2011,20.6,Prozent,
2012,23.8,Prozent,
2013,25.3,Prozent,
2014,27.5,Prozent,
2015,31.6,Prozent,
2016,31.8,Prozent,
2017,36.2,Prozent,
2018,37.9,Prozent,
2019,42.2,Prozent,
2020,45.5,Prozent,
2021,41.5,Prozent,
2022,46.3,Prozent,
2023,52.5,Prozent,
2030,,Prozent,
