Year,Value,Units
2005,100.0,2005 = 100
2006,100.868,2005 = 100
2007,97.175,2005 = 100
2008,95.532,2005 = 100
2009,88.283,2005 = 100
2010,91.505,2005 = 100
2011,88.216,2005 = 100
2012,87.81,2005 = 100
2013,86.6,2005 = 100
2014,83.507,2005 = 100
2015,82.848,2005 = 100
2016,80.139,2005 = 100
2017,78.232,2005 = 100
2018,75.254,2005 = 100
2019,71.104,2005 = 100
2020,65.806,2005 = 100
2021,66.03,2005 = 100
2022,65.617,2005 = 100
2030,,2005 = 100
