Year,Value,Units,GeoCode
2004,-5.156,m² pro Jahr,
2005,-5.03,m² pro Jahr,
2006,-4.908,m² pro Jahr,
2007,-4.789,m² pro Jahr,
2008,-4.67,m² pro Jahr,
2009,-4.389,m² pro Jahr,
2010,-4.095,m² pro Jahr,
2011,-4.268,m² pro Jahr,
2012,-3.83,m² pro Jahr,
2013,-3.657,m² pro Jahr,
2014,-3.704,m² pro Jahr,
2015,-2.891,m² pro Jahr,
2016,-2.731,m² pro Jahr,
2017,-2.78,m² pro Jahr,
2018,-2.809,m² pro Jahr,
2019,-2.775,m² pro Jahr,
2020,-2.842,m² pro Jahr,
2021,-2.715,m² pro Jahr,
2022,-2.239,m² pro Jahr,
