Year,Value,Units
2012,5.6,Millionen
2013,6.9,Millionen
2014,11.2,Millionen
2015,18.2,Millionen
2016,20.4,Millionen
2017,23.7,Millionen
2018,24.2,Millionen
2019,32.1,Millionen
2020,35.6,Millionen
2021,40.2,Millionen
2022,44.9,Millionen
2023,52.1,Millionen
2030,,Millionen
