Year,Value,Units,Series
1990,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1991,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1992,116.698,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1993,111.062,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1994,109.15,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1995,107.528,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1996,107.9,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1997,108.84,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1998,109.302,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1999,108.148,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2000,108.544,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2001,107.998,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2002,105.204,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2003,102.638,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2004,103.336,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2005,102.164,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2006,101.68,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2007,98.898,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2008,96.338,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2009,96.468,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2010,94.992,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2011,93.484,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2012,94.234,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2013,97.372,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2014,96.646,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2015,96.854,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2016,95.894,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2017,94.15,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2018,89.384,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2019,82.946,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2020,76.706,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2021,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2022,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
2030,,Kilogramm pro Hektar,Gleitender Fünfjahresdurchschnitt mit Bezug auf das mittlere Jahr
1990,141.6,Kilogramm pro Hektar,Berechnete jährliche Werte
1991,117.23,Kilogramm pro Hektar,Berechnete jährliche Werte
1992,112.2,Kilogramm pro Hektar,Berechnete jährliche Werte
1993,106.06,Kilogramm pro Hektar,Berechnete jährliche Werte
1994,106.4,Kilogramm pro Hektar,Berechnete jährliche Werte
1995,113.42,Kilogramm pro Hektar,Berechnete jährliche Werte
1996,107.67,Kilogramm pro Hektar,Berechnete jährliche Werte
1997,104.09,Kilogramm pro Hektar,Berechnete jährliche Werte
1998,107.92,Kilogramm pro Hektar,Berechnete jährliche Werte
1999,111.1,Kilogramm pro Hektar,Berechnete jährliche Werte
2000,115.73,Kilogramm pro Hektar,Berechnete jährliche Werte
2001,101.9,Kilogramm pro Hektar,Berechnete jährliche Werte
2002,106.07,Kilogramm pro Hektar,Berechnete jährliche Werte
2003,105.19,Kilogramm pro Hektar,Berechnete jährliche Werte
2004,97.13,Kilogramm pro Hektar,Berechnete jährliche Werte
2005,102.9,Kilogramm pro Hektar,Berechnete jährliche Werte
2006,105.39,Kilogramm pro Hektar,Berechnete jährliche Werte
2007,100.21,Kilogramm pro Hektar,Berechnete jährliche Werte
2008,102.77,Kilogramm pro Hektar,Berechnete jährliche Werte
2009,83.22,Kilogramm pro Hektar,Berechnete jährliche Werte
2010,90.1,Kilogramm pro Hektar,Berechnete jährliche Werte
2011,106.04,Kilogramm pro Hektar,Berechnete jährliche Werte
2012,92.83,Kilogramm pro Hektar,Berechnete jährliche Werte
2013,95.23,Kilogramm pro Hektar,Berechnete jährliche Werte
2014,86.97,Kilogramm pro Hektar,Berechnete jährliche Werte
2015,105.79,Kilogramm pro Hektar,Berechnete jährliche Werte
2016,102.41,Kilogramm pro Hektar,Berechnete jährliche Werte
2017,93.87,Kilogramm pro Hektar,Berechnete jährliche Werte
2018,90.43,Kilogramm pro Hektar,Berechnete jährliche Werte
2019,78.25,Kilogramm pro Hektar,Berechnete jährliche Werte
2020,81.96,Kilogramm pro Hektar,Berechnete jährliche Werte
2021,70.22,Kilogramm pro Hektar,Berechnete jährliche Werte
2022,62.67,Kilogramm pro Hektar,Berechnete jährliche Werte
2030,,Kilogramm pro Hektar,Berechnete jährliche Werte
