Year,Value,Units,COMMENT_OBS_0
2015,354.841,1 000,
2018,862.978,1 000,
2021,80.083,1 000,
2024,89.0,1 000,
2016,,1 000,.
2017,,1 000,.
2019,,1 000,.
2020,,1 000,.
2022,,1 000,.
2023,,1 000,.
2030,,1 000,…
