Year,Value,Units
2011,257.93,Je 100 000 Einwohner/-innen
2012,252.8,Je 100 000 Einwohner/-innen
2013,253.78,Je 100 000 Einwohner/-innen
2014,243.34,Je 100 000 Einwohner/-innen
2015,249.22,Je 100 000 Einwohner/-innen
2016,244.56,Je 100 000 Einwohner/-innen
2017,241.05,Je 100 000 Einwohner/-innen
2018,241.0,Je 100 000 Einwohner/-innen
2019,231.41,Je 100 000 Einwohner/-innen
2020,238.07,Je 100 000 Einwohner/-innen
2021,252.54,Je 100 000 Einwohner/-innen
2030,,Je 100 000 Einwohner/-innen
