Year,Value,Units
2005,140519.0,Anzahl
2006,141289.0,Anzahl
2007,136087.0,Anzahl
2008,140832.0,Anzahl
2009,147152.0,Anzahl
2010,153690.0,Anzahl
2011,158557.0,Anzahl
2012,170618.0,Anzahl
2013,185787.0,Anzahl
2014,200349.0,Anzahl
2015,215258.0,Anzahl
2016,230689.0,Anzahl
2017,247436.0,Anzahl
2018,267250.0,Anzahl
2019,285450.0,Anzahl
2020,298149.0,Anzahl
2021,316001.0,Anzahl
2022,335016.0,Anzahl
2023,348976.0,Anzahl
