Year,Value,Units
2011,1.56,Milliarden EUR
2012,1.66,Milliarden EUR
2013,1.95,Milliarden EUR
2014,2.34,Milliarden EUR
2015,2.684,Milliarden EUR
2016,3.362,Milliarden EUR
2017,3.65,Milliarden EUR
2018,3.37,Milliarden EUR
2019,4.34,Milliarden EUR
2020,5.09,Milliarden EUR
2021,5.34,Milliarden EUR
2022,6.39,Milliarden EUR
2023,5.66,Milliarden EUR
2025,,Milliarden EUR
