Year,Value,Units,GeoCode
1999,10.7,Prozent,
2003,11.7,Prozent,
2005,12.5,Prozent,
2009,13.3,Prozent,
2013,14.1,Prozent,
2017,14.789,Prozent,
2021,15.402,Prozent,
