Year,Units,Value
2011,billion eur,1.56
2012,billion eur,1.66
2013,billion eur,1.95
2014,billion eur,2.34
2015,billion eur,2.684
2016,billion eur,3.362
2017,billion eur,3.65
2018,billion eur,3.37
2019,billion eur,4.34
2020,billion eur,5.09
2021,billion eur,5.34
2025,billion eur,
