Year,Units,Value
2011,Milliarden EUR,1.56
2012,Milliarden EUR,1.66
2013,Milliarden EUR,1.95
2014,Milliarden EUR,2.34
2015,Milliarden EUR,2.684
2016,Milliarden EUR,3.362
2017,Milliarden EUR,3.65
2018,Milliarden EUR,3.37
2019,Milliarden EUR,4.34
2020,Milliarden EUR,5.09
2021,Milliarden EUR,5.34
2025,Milliarden EUR,
