Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Rheinland-Pfalz,code07,19.667
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,22.589
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,20.498
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,20.456
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Saarland,code10,19.539
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen,code14,24.894
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen,code14,23.33
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen,code14,22.969
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen,code14,21.88
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen-Anhalt,code15,28.918
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen-Anhalt,code15,27.151
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen-Anhalt,code15,27.517
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Sachsen-Anhalt,code15,26.031
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Schleswig-Holstein,code01,30.062
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Schleswig-Holstein,code01,28.987
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Schleswig-Holstein,code01,28.335
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Schleswig-Holstein,code01,27.278
2012,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Thüringen,code16,24.449
2016,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Thüringen,code16,23.504
2018,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Thüringen,code16,22.986
2020,Minuten,Bezogen auf die Mittel- und Oberzentren des jeweiligen Jahres,Thüringen,code16,21.0
