Year,Units,Zeitreihe,Bundesland,GeoCode,Value
2024/1,Prozent,Alle leitungsgebundenen Technologien,Mecklenburg-Vorpommern,code13,69.53
2022/1,Prozent,Alle leitungsgebundenen Technologien,Niedersachsen,code03,74.59
2022/2,Prozent,Alle leitungsgebundenen Technologien,Niedersachsen,code03,78.22
2023/1,Prozent,Alle leitungsgebundenen Technologien,Niedersachsen,code03,81.4
2023/2,Prozent,Alle leitungsgebundenen Technologien,Niedersachsen,code03,83.0
2024/1,Prozent,Alle leitungsgebundenen Technologien,Niedersachsen,code03,85.3
2022/1,Prozent,Alle leitungsgebundenen Technologien,Nordrhein-Westfalen,code05,73.06
2022/2,Prozent,Alle leitungsgebundenen Technologien,Nordrhein-Westfalen,code05,76.94
2023/1,Prozent,Alle leitungsgebundenen Technologien,Nordrhein-Westfalen,code05,79.9
2023/2,Prozent,Alle leitungsgebundenen Technologien,Nordrhein-Westfalen,code05,80.28
2024/1,Prozent,Alle leitungsgebundenen Technologien,Nordrhein-Westfalen,code05,81.58
2022/1,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,58.24
2022/2,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,62.14
2023/1,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,65.71
2023/2,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,67.79
2024/1,Prozent,Alle leitungsgebundenen Technologien,Rheinland-Pfalz,code07,71.61
2022/1,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,59.87
2022/2,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,60.76
2023/1,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,62.91
2023/2,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,63.97
2024/1,Prozent,Alle leitungsgebundenen Technologien,Saarland,code10,67.33
2022/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,43.78
2022/2,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,51.36
2023/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,61.21
2023/2,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,62.27
2024/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen,code14,64.59
2022/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,33.82
2022/2,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,37.85
2023/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,48.87
2023/2,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,51.05
2024/1,Prozent,Alle leitungsgebundenen Technologien,Sachsen-Anhalt,code15,60.52
2022/1,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,85.08
2022/2,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,86.75
2023/1,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,88.66
2023/2,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,89.86
2024/1,Prozent,Alle leitungsgebundenen Technologien,Schleswig-Holstein,code01,90.27
2022/1,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,39.9
2022/2,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,41.39
2023/1,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,46.44
2023/2,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,50.76
2024/1,Prozent,Alle leitungsgebundenen Technologien,Thüringen,code16,52.53
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,10.94
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,19.99
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,18.3
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,18.87
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Baden-Württemberg,code08,22.59
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,18.99
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,21.57
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,24.36
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,28.71
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Bayern,code09,31.18
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,11.62
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,15.72
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,19.77
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,29.97
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Berlin,code11,33.54
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,27.52
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,24.61
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,36.7
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,41.07
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Brandenburg,code12,44.63
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,9.79
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,16.6
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,25.22
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,32.59
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Bremen,code04,40.4
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,44.22
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,52.38
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,64.8
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,68.1
2024/1,Prozent,Reine Glasfasernetze (FTTB/H),Hamburg,code02,73.15
2022/1,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,12.25
2022/2,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,16.17
2023/1,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,21.13
2023/2,Prozent,Reine Glasfasernetze (FTTB/H),Hessen,code06,26.06
